GeoLoc,Year,State,Pop_Est,F_Fatal,M_Fatal,O_Fatal,F_ER,M_ER,O_ER,F_HOSP,M_HOSP,O_HOSP
POINT (-86.63186076199969 32.84057112200048),2010,Alabama,4785514,44,17,61,,,,,,
POINT (-147.72205903599973 64.84507995700051),2010,Alaska,713982,,,,,,,,,
POINT (-111.76381127699972 34.865970280000454),2010,Arizona,6407342,31,27,58,22280,18335,40650,4717,3352,8073
POINT (-92.27449074299966 34.74865012400045),2010,Arkansas,2921998,29,8,37,,,,1876,962,2841
POINT (-120.99999953799971 37.63864012300047),2010,California,37319550,251,152,403,116571,96999,217637,19399,12958,34583
POINT (-106.13361092099967 38.843840757000464),2010,Colorado,5047539,33,15,48,,,,2385,1942,4336
POINT (-72.64984095199964 41.56266102000046),2010,Connecticut,3579173,30,15,45,,,,,,
POINT (-75.57774116799965 39.008830667000495),2010,Delaware,899647,,,,,,,,,
POINT (-77.036871 38.907192),2010,District of Columbia,605282,,,,,,,,,
POINT (-81.92896053899966 28.932040377000476),2010,Florida,18846143,116,61,177,81148,60447,141612,19215,10944,30170
POINT (-83.62758034599966 32.83968109300048),2010,Georgia,9712209,56,41,97,,,,,,
POINT (-157.85774940299973 21.304850435000446),2010,Hawaii,1364004,,,,3776,3544,7328,622,504,1128
POINT (-114.3637300419997 43.682630005000476),2010,Idaho,1570819,10.5,10.5,21,,,,,,
POINT (-88.99771017799969 40.48501028300046),2010,Illinois,12840545,109,74,183,,,,,,
POINT (-86.14996019399968 39.766910452000445),2010,Indiana,6490555,43,26,69,,,,,,
POINT (-93.81649055599968 42.46940091300047),2010,Iowa,3050819,25,21,46,7910,6224,14135,1379,871,2250
POINT (-98.20078122699965 38.34774030000045),2010,Kansas,2858266,20,13,33,,,,,,
POINT (-84.77497104799966 37.645970271000465),2010,Kentucky,4348464,36,8,44,15805,11526,27334,4194,2426,6621
POINT (-92.44568007099969 31.31266064400046),2010,Louisiana,4544635,20,16,36,,,,,,
POINT (-68.98503133599962 45.254228894000505),2010,Maine,1327651,,,,,,,,,
POINT (-76.60926011099963 39.29058096400047),2010,Maryland,5788784,43,28,71,30704,25360,56070,5866,3645,9514
POINT (-72.08269067499964 42.27687047000046),2010,Massachusetts,6566440,35,15,50,30352,22899,53257,6084,4046,10144
POINT (-84.71439026999968 44.6613195430005),2010,Michigan,9877597,61,44,105,,,,9798,5438,15240
POINT (-94.79420050299967 46.35564873600049),2010,Minnesota,5310934,36,37,73,,,,,,
POINT (-89.53803082499968 32.745510099000455),2010,Mississippi,2970615,27,22,49,,,,2939,1747,4688
POINT (-92.56630005299968 38.635790776000476),2010,Missouri,5996089,42,34,76,,,,,,
POINT (-109.42442064499971 47.06652897200047),2010,Montana,990730,,,,,,,,,
POINT (-99.36572062299967 41.6410409880005),2010,Nebraska,1829591,13,13,26,3785,3013,6798,837,508,1346
